"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1949	5	9	13	36	18	1793		"INDONESIA:  BANDA ACEH"	5	95		6.7																									
	1950	6	19	12	36	54			"INDONESIA:  JAVA:  GRESIK"	-6	113		6.5	7	16	1			50	1		1	50	1			16	1			50	1		1	50	1		
	1950	8	15	14	9	30	1806		"INDIA-CHINA"	28.5	96.5	33	8.6	11	1530	4					20	3					1530	4					20	3				
	1951	12	8	4	14	12			"INDIAN OCEAN:  S"	-34	57	25	7.9																									
	1954	3	21	23	42	11			"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR"	24.5	95.3	180	7.4									2												2				
	1954	11	2	8	24	54			"INDONESIA:  SUMABAWA:  BIMA,RABA"	-8	119		6.8	8								1				2								1				2
	1955	2	18	22	48	33			"PAKISTAN:  QUETTA"	30.5	67				12	1				3		2					12	1				3		2				
	1955	5	17	14	49	49	1850		"INDIA:  LITTLE NICOBAR ISLAND"	6.5	94		7.3																									
	1956	7	16	15	7	0			"MYANMAR (BURMA)"	22.2	95.7	39	7		38	1						2																
	1956	7	21	15	32	30.1			"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA"	23.278	70.107	15	6	9	156	3						3					156	3						3				
	1957	4	16	4	4	4			"INDONESIA:  JAVA SEA"	-4.6	107.1	600	7.5																									
	1957	9	26				1872		"S. JAVA SEA"	-8.2	107.3																											
	1958	4	21	22	37	36	1879		"INDONESIA:  SUMATRA:  BENGKULU"	-4.5	104	200	6.7																									
	1958	10	20	1	12	37			"INDONESIA:  JAVA:  MALANG"	-9.5	112.5	100	6.7	8	8	1			1856	4		2	95	2	206	3	8	1			1856	4		2	95	2	206	3
	1960	8	27	15	58	0			"INDIA:  N"	28.6	76.7	58										2																
	1961	2	4	8	51	0			"INDIA"	24.9	93.34	141	7.6																									
	1961	3	16	13	45	35.6			"INDONESIA:  FLORES:  ENDEH"	-8.2	122	74	6.5	8	2	1			6	1		2					2	1			6	1		2				
	1963	5	18	12	20	34.4		353	"INDONESIA:  BALI"	-8.2	115.6	65	6																									
	1963	9	2	1	34	0			"INDIA:  KASHMIR:  SW"	33.9	74.8	25	5.3		80	2						2																
	1963	12	16	1	51	31	1949		"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO"	-6.4	105.4	64	6.6									1				1								1				1
	1964	4	2	1	11	51	1956		"INDONESIA:  BANDA ACEH"	5.9	95.7	130	7	7								3		3										3		3		
	1966	6	27	10	41	9.5			"NEPAL-INDIA"	29.554	80.854	23	6.3	8	80	2			100	2	1	2	5200	4			80	2			100	2	1	2	5200	4		
	1966	8	15	2	15	0			"INDIA:  N"	28.7	78.9	53	5.6		15	1						1																
	1967	2	19	22	14	35.3			"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK"	-9.2	113.1	80	6.8	9	54	2			300	3		3	2000	4	5000	4	54	2			300	3		3	2000	4	5000	4
	1967	4	12	4	51	50.2	1988		"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA"	5.5	97.3	100	6.1		14	1						3	2000	4			14	1						3	2000	4		
	1967	12	10	22	51	23.5			"INDIA"	17.412	73.885	15	6.6	8	180	3					0.4	1					180	3					0.4	1				
	1968	10	14	2	58	0			"AUSTRALIA:  MECKERING, NORTHAM, CUNDERDIN, YORK"	-31.6	117	5	6.9	9							2.2	2																
	1969	11	21	2	5	35			"INDONESIA:  OFF NW COAST SUMATERA"	2.1	94.6	20	7.7																									
	1970	3	23	1	52	59.3			"INDIA:  BROACH"	21.7	73	3	5.4		26	1			200	3		2					26	1			200	2		2				
	1971	2	4	15	33	28.6			"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN"	0.6	98.8	40	7.1	6								2												2				
	1971	6	16	14	44	22.5			"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG"	-7.2	109.1	35	5.2		1	1			6	1		3			1377	4	1	1			6	1		3			1377	4
	1972	9	3	16	48	28.8			"PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR"	36	73.4	36	6.2		100	2						3	1000	3	1000	3												
	1974	12	28	12	11	43.7	2071		"PAKISTAN:  BALAKOT, PATAN"	35.1	72.9	22	6.2	7	5300	4			17000	4	3.255	2		3		3	5300	4			17000	4	3.255	2		3		
	1975	1	19	8	2	2.5			"INDIA:  KASHMIR:   KINNAUR DISTRICT"	32.46	78.43	33	6.8		47	1						2					47	1						2				
	1975	2	9	4	45	24.5			"INDONESIA:  JAVA"	-6.7	106.7	27	5.6	8	1	1						2					1	1						2				
	1975	7	8	12	4	42.4			"MYANMAR (BURMA):  PAGAN"	21.49	94.7	157	6.5		1	1			1	1	0.5	1					1	1			1	1	0.5	1				
	1976	7	14	7	13	24			"INDONESIA:  BALI"	-8.17	114.888	40	6.5		573	3			4755	4	195	4					573	3			4755	4	195	4				
	1977	1	26	13	11	29.8			"INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM"	-8.22	115.19	33	5.2	6								1																
	1977	3	8	23	17	28			"INDONESIA:  SUMATERA,SINURAT,TALU"	0.45	100.02	22	6	8								1																
	1977	8	19	6	8	55.2	2092		"INDONESIA:  SUNDA ISLANDS"	-11.085	118.464	33	8									1					189	3			75	2	1.2	2				
	1978	3	16	2	0	0.5			"PAKISTAN:  QUETTA, NUSHKI"	29.926	66.302	33	5.9	2	1	1						2					1	1						2				
	1979	5	21	16	31	5.2			"INDONESIA:  BALI"	-8.299	115.934	43	5.4									3																
